,AST1_1,AST1_2,AST1_3,AST1_4,AST1_5,AST1_6,AST1_7,AST1_8,Gtp1_1,Gtp1_2,Gtp1_3,Gtp1_4,Gtp1_5,Gtp1_6,Gtp1_7,Gtp1_8,weight1_1,weight1_2,weight1_3,weight1_4,weight1_5,weight1_6,weight1_7,weight1_8,gender1_1,gender1_2,gender1_3,gender1_4,gender1_5,gender1_6,gender1_7,gender1_8,gender1_9,height1_1,height1_2,height1_3,height1_4,height1_5,height1_6,height1_7,height1_8,relaxation1_1,relaxation1_2,relaxation1_3,relaxation1_4,relaxation1_5,relaxation1_6,relaxation1_7,relaxation1_8,serum creatinine1_1,serum creatinine1_2,serum creatinine1_3,serum creatinine1_4,serum creatinine1_5,serum creatinine1_6,serum creatinine1_7,serum creatinine1_8,tartar1_1,tartar1_2,tartar1_3,tartar1_4,tartar1_5,tartar1_6,tartar1_7,tartar1_8,tartar1_9,LDL1_1,LDL1_2,LDL1_3,LDL1_4,LDL1_5,LDL1_6,LDL1_7,LDL1_8,hemoglobin1_1,hemoglobin1_2,hemoglobin1_3,hemoglobin1_4,hemoglobin1_5,hemoglobin1_6,hemoglobin1_7,hemoglobin1_8,eyesight (left)1_1,eyesight (left)1_2,eyesight (left)1_3,eyesight (left)1_4,eyesight (left)1_5,eyesight (left)1_6,eyesight (left)1_7,eyesight (left)1_8,fasting blood sugar1_1,fasting blood sugar1_2,fasting blood sugar1_3,fasting blood sugar1_4,fasting blood sugar1_5,fasting blood sugar1_6,fasting blood sugar1_7,fasting blood sugar1_8,eyesight (right)1_1,eyesight (right)1_2,eyesight (right)1_3,eyesight (right)1_4,eyesight (right)1_5,eyesight (right)1_6,eyesight (right)1_7,eyesight (right)1_8,triglyceride1_1,triglyceride1_2,triglyceride1_3,triglyceride1_4,triglyceride1_5,triglyceride1_6,triglyceride1_7,triglyceride1_8,urine protein1_1,urine protein1_2,urine protein1_3,urine protein1_4,urine protein1_5,urine protein1_6,urine protein1_7,urine protein1_8,waist1_1,waist1_2,waist1_3,waist1_4,waist1_5,waist1_6,waist1_7,waist1_8,dental caries1_1,dental caries1_2,dental caries1_3,dental caries1_4,dental caries1_5,dental caries1_6,dental caries1_7,dental caries1_8,dental caries1_9,Cholesterol1_1,Cholesterol1_2,Cholesterol1_3,Cholesterol1_4,Cholesterol1_5,Cholesterol1_6,Cholesterol1_7,Cholesterol1_8,HDL1_1,HDL1_2,HDL1_3,HDL1_4,HDL1_5,HDL1_6,HDL1_7,HDL1_8,systolic1_1,systolic1_2,systolic1_3,systolic1_4,systolic1_5,systolic1_6,systolic1_7,systolic1_8,Age1_1,Age1_2,Age1_3,Age1_4,Age1_5,Age1_6,Age1_7,Age1_8,ALT1_1,ALT1_2,ALT1_3,ALT1_4,ALT1_5,ALT1_6,ALT1_7,ALT1_8,hearing right_1,hearing right_2,hearing right_3,hearing right_4,hearing right_5,hearing right_6,hearing right_7,hearing right_8,hearing right_9,hearing left_1,hearing left_2,hearing left_3,hearing left_4,hearing left_5,hearing left_6,hearing left_7,hearing left_8,hearing left_9
10,2.0,2.0,5.0,5.0,1.0,3.0,3.0,3.0,2.0,2.0,5.0,5.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,,,,,,,,,4.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,1,1,2,2,2,3,3,3,3,1,1,2,2,2,3,3,3,3
11,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,,,,,,,,,1.0,1.0,5.0,5.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,2,1,3,3,2,2,2,2,2,1,1,2,1,1,1,3,2,2
12,5.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,1.0,1.0,5.0,5.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,,,,,,,,,2.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,,,,,,,,,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,,,,,,,,,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,
13,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,1.0,1.0,4.0,1.0,5.0,5.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,,,,,,,,,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,,,,,,,,,5.0,4.0,3.0,2.0,2.0,2.0,5.0,5.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,5.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,
14,,,,,,,,,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,5.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,,,,,,,,,,,,,,,,,2.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,,,,,,,,,2.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,
15,,,,,,,,,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,,,,,,,,,,1.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,2.0,2.0,3.0,1.0,5.0,5.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,5.0,5.0,5.0,,,,,,,,,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,4.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,,,,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,
16,,,,,,,,,4.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,4.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
